Menu Item Name,Family Group,Major Group,Qty Sold
OR DRM MACHN M,BEVERAGES,BEVERAGES,215
BOWL SOUP,SOUPS/ STEWS,FOOD,214
EGG SAND,BREAKFAST,FOOD,214
GRILL SPECIAL 2,ENTREES,FOOD,213
EEL NIGIRI,ENTREES,FOOD,212
EMPL SLD PROTEIN,EMPLOYEE MEALS,EMPL MEALS,212
PB CHOC LOVE M,BEVERAGES,BEVERAGES,211
EMPL SMTHE S,EMPLOYEE MEALS,EMPL MEALS,209
BERRY UPBEET M,BEVERAGES,BEVERAGES,203
ICD BLK TIE L,BEVERAGES,BEVERAGES,203
NACHO GRND SIRL,FOOD,FOOD,203
X PEACHES,TOPPINGS,FOOD,203
GRLD ASPARGUS,SIDES,FOOD,201
NACHO STEAK,FOOD,FOOD,200
TEPANKI CHIX,ENTREES,FOOD,200
SLD DRESSING,PREPACKAGED,RETAIL,198
GRNS N GNGR S,BEVERAGES,BEVERAGES,197
MAKI SHRMP GNG,PREPACKAGED,FOOD,195
ORANGE JCE L,BEVERAGES,BEVERAGES,195
MATCHO GN TEA L,BEVERAGES,BEVERAGES,194
ADD TOFU,ENTREES,FOOD,191
HAMACHI NIGIRI,ENTREES,FOOD,189
STRW SURFRDR L,BEVERAGES,BEVERAGES,189
ESP LAT MACTO L,BEVERAGES,BEVERAGES,185
QUESAD CHEESE,FOOD,FOOD,185
TEPANKI BEEF,ENTREES,FOOD,185
PCH PERFCTION S,BEVERAGES,BEVERAGES,184
BGLGARDN VEGG,SANDWICHES,FOOD,182
EMPL. BRKFST,EMPLOYEE MEALS,EMPL MEALS,181
NACHO VEGTARIAN,FOOD,FOOD,178
TP BRD BOWL,BREADS,FOOD,178
BERRY UPBEET S,BEVERAGES,BEVERAGES,177
LAST NITE BAGEL,BREAKFAST,FOOD,175
ORANGE C BSTR M,BEVERAGES,BEVERAGES,175
MANGO GO GO L,BEVERAGES,BEVERAGES,173
MEGA MANGO L,BEVERAGES,BEVERAGES,172
EMPL OATMEAL,EMPLOYEE MEALS,EMPL MEALS,170
PB CHOC LOVE S,BEVERAGES,BEVERAGES,168
MINI FRUIT MIX,PREPACKAGED,FOOD,167
WHIP EXTRAS,BEVERAGES,BEVERAGES,167
B PORK,FOOD,FOOD,166
PB N BANANA S,BEVERAGES,BEVERAGES,166
PRO BERY WHEY M,BEVERAGES,BEVERAGES,166
ESP AMERCNO M,BEVERAGES,BEVERAGES,164
STRWBS WILD L,BEVERAGES,BEVERAGES,164
STRWB WHIRL M,BEVERAGES,BEVERAGES,164
ESP CAPPCINO L,BEVERAGES,BEVERAGES,162
GRN TEA LATE M,BEVERAGES,BEVERAGES,161
GRILLED MAHI,ENTREES,FOOD,160
COFFEE JAVIVA L,BEVERAGES,BEVERAGES,159
X IND T STEAK,FOOD,FOOD,156
PEANT BTR MD S,BEVERAGES,BEVERAGES,154
SPECIAL 4 TP,FOOD,FOOD,153
BRKFST HAM,BREAKFAST,FOOD,151
KALE BST,BEVERAGES,BEVERAGES,151
PB N BANANA L,BEVERAGES,BEVERAGES,150
EMP DESSERT,EMPLOYEE MEALS,EMPL MEALS,149
ICD GRN T LATT L,BEVERAGES,BEVERAGES,149
SOY BST,BEVERAGES,BEVERAGES,147
COOKIES N CRM L,BEVERAGES,BEVERAGES,145
WHOLE LOAF BRD,BREADS,FOOD,145
TURKEY N SLAW,SANDWICHES,FOOD,143
SWIRL JAVIVA M,BEVERAGES,BEVERAGES,141
ACAI ANTIOX L,BEVERAGES,BEVERAGES,140
TARRGN CHIX SLD,SANDWICHES,FOOD,140
MATCHA GN TEA S,BEVERAGES,BEVERAGES,139
STRWB WHIRL S,BEVERAGES,BEVERAGES,139
ESP AMERCNO L,BEVERAGES,BEVERAGES,137
SPECIAL 2 TP,FOOD,FOOD,137
SUB EGGPLANT,SANDWICHES,FOOD,137
DEATH BY CHOC,DESSERTS,FOOD,136
SIMPLE FLAV,BEVERAGES,BEVERAGES,135
EMP QUESADLLA,EMPLOYEE MEALS,EMPL MEALS,134
COCONUT FLAV,BEVERAGES,BEVERAGES,133
X RASPBRY SCE,TOPPINGS,FOOD,133
